"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","State and Province","Duration","Growth Habit","Native Status","Bloom Period"
"MIRU3","","MIRU3","Minuartia rubella","","Minuartia","","rubella","","","","","","","","","","","(Wahlenb.) Hiern.","","","","","USA (AK, AZ, CA, CO, ID, ME, MT, NM, NV, OR, SD, UT, VT, WA, WY), CAN (AB, BC, LB, MB, NF, NT, NU, ON, QC, SK, YT), DEN (GL)","Annual, Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)",""
"MIST5","","MIST5","Minuartia stricta","","Minuartia","","stricta","","","","","","","","","","","(Sw.) Hiern.","","","","","USA (AK, CA, CO, NH, RI, UT), CAN (AB, BC, LB, MB, NT, NU, ON, QC, YT), DEN (GL)","Annual","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)",""
"MIRAB","","MIRAB","Mirabilis","","Mirabilis","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (AB, BC, MB, ON, QC, SK)","","","",""
"MIAL4","","MIAL4","Mirabilis albida","","Mirabilis","","albida","","","","","","","","","","","(Walter) Heimerl","","","","","USA (AL, AR, AZ, CA, CO, GA, IA, IL, IN, KS, KY, LA, MA, MI, MN, MO, MS, MT, ND, NE, NM, NV, OH, OK, PA, SC, TN, TX), CAN (AB, BC, MB, ON, QC, SK)","Perennial","Forb/herb, Subshrub","L48 (N), CAN (N)",""
"MIAL5","","MIAL5","Mirabilis alipes","","Mirabilis","","alipes","","","","","","","","","","","(S. Watson) Pilz","","","","","USA (CA, CO, NV, UT)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"MICO15","","MICO15","Mirabilis comata","","Mirabilis","","comata","","","","","","","","","","","(Small) Standl.","","","","","USA (CO, NM)","Perennial","Forb/herb","L48 (N)",""
"MIDE5","","MIDE5","Mirabilis decipiens","","Mirabilis","","decipiens","","","","","","","","","","","(Standl.) Standl.","","","","","USA (AZ, CO, NM, UT)","Perennial","Forb/herb","L48 (N)",""
"MIGL3","","MIGL3","Mirabilis glabra","","Mirabilis","","glabra","","","","","","","","","","","(S. Watson) Standl.","","","","","USA (AZ, CO, KS, NE, NM, OK, TX, UT)","Perennial","Forb/herb","L48 (N)",""
"MIHI","","MIHI","Mirabilis hirsuta","","Mirabilis","","hirsuta","","","","","","","","","","","(Pursh) MacMill.","","","","","USA (AR, AZ, CO, CT, IA, IL, IN, KS, MA, ME, MI, MN, MO, MT, ND, NE, NJ, NM, NY, OH, OK, SD, TX, WI, WY)","Perennial","Forb/herb","L48 (N)",""
"MILI3","","MILI3","Mirabilis linearis","","Mirabilis","","linearis","","","","","","","","","","","(Pursh) Heimerl","","","","","USA (AR, AZ, CA, CO, CT, IL, IN, KS, MI, MN, MO, MS, MT, ND, NE, NJ, NM, NV, NY, OK, PA, SD, TN, TX, UT, WI, WY), CAN (AB, MB, SK)","Perennial","Subshrub, Forb/herb","L48 (N), CAN (N)",""
"MIME8","","MIME8","Mirabilis melanotricha","","Mirabilis","","melanotricha","","","","","","","","","","","(Standl.) Spellenb.","","","","","USA (AZ, CO, NM, TX)","Perennial","Forb/herb","L48 (N)",""
"MIMU","","MIMU","Mirabilis multiflora","","Mirabilis","","multiflora","","","","","","","","","","","(Torr.) A. Gray","","","","","USA (AZ, CA, CO, NM, NV, TX, UT)","Perennial","Forb/herb, Subshrub","L48 (N)","Late Spring"
"MIMUG","","MIMUG","Mirabilis multiflora var. glandulosa","","Mirabilis","","multiflora","","","","var.","","glandulosa","","","","","(Torr.) A. Gray","(Standl.) J.F. Macbr.","","","","USA (AZ, CA, CO, NM, NV, UT)","Perennial","Forb/herb","L48 (N)",""
"MIMUM","","MIMUM","Mirabilis multiflora var. multiflora","","Mirabilis","","multiflora","","","","var.","","multiflora","","","","","(Torr.) A. Gray","(Torr.) A. Gray","","","","USA (AZ, CO, NM, NV, TX, UT)","Perennial","Forb/herb","L48 (N)",""
"MINY","","MINY","Mirabilis nyctaginea","","Mirabilis","","nyctaginea","","","","","","","","","","","(Michx.) MacMill.","","","","","USA (AL, AR, CA, CO, CT, DC, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, ON, QC, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"MIOX","","MIOX","Mirabilis oxybaphoides","","Mirabilis","","oxybaphoides","","","","","","","","","","","(A. Gray) A. Gray","","","","","USA (AZ, CO, NM, NV, OK, TX, UT)","Perennial","Forb/herb","L48 (N)",""
"MIRO2","","MIRO2","Mirabilis rotundifolia","","Mirabilis","","rotundifolia","","","","","","","","","","","(Greene) Standl.","","","","","USA (CO)","Perennial","Forb/herb","L48 (N)",""
"MISCA","","MISCA","Miscanthus","","Miscanthus","","","","","","","","","","","","","","","","","","USA (AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, IL, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NJ, NY, OH, PA, RI, SC, TN, VA, WI, WV), CAN (ON, QC)","","","",""
"MISI","","MISI","Miscanthus sinensis","","Miscanthus","","sinensis","","","","","","","","","","","Andersson","","","","","USA (AL, CA, CO, CT, DC, DE, FL, GA, IL, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, PA, RI, SC, TN, VA, WV), CAN (ON)","Perennial","Graminoid","L48 (I), CAN (I)","Early Summer"
"MITEL","","MITEL","Mitella","","Mitella","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OR, PA, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)","","","",""
"MIPE","","MIPE","Mitella pentandra","","Mitella","","pentandra","","","","","","","","","","","Hook.","","","","","USA (AK, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, YT)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"MIST3","","MIST3","Mitella stauropetala","","Mitella","","stauropetala","","","","","","","","","","","Piper","","","","","USA (CO, ID, MT, NM, OR, UT, WA, WY)","Perennial","Forb/herb","L48 (N)",""
"MISTS","","MISTS","Mitella stauropetala var. stenopetala","","Mitella","","stauropetala","","","","var.","","stenopetala","","","","","Piper","(Piper) Rosend.","","","","USA (CO, ID, NM, UT, WY)","Perennial","Forb/herb","L48 (N)",""
"MOEHR","","MOEHR","Moehringia","","Moehringia","","","","","","","","","","","","","","","","","","USA (AK, CA, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)","","","",""
"MOLA6","","MOLA6","Moehringia lateriflora","","Moehringia","","lateriflora","","","","","","","","","","","(L.) Fenzl","","","","","USA (AK, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), SPM (N)",""
"MOMA3","","MOMA3","Moehringia macrophylla","","Moehringia","","macrophylla","","","","","","","","","","","(Hook.) Fenzl","","","","","USA (CA, CO, CT, ID, MA, MI, MN, MT, NM, OR, VT, WA, WI), CAN (BC, LB, MB, NT, ON, QC, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"MOLLU","","MOLLU","Mollugo","","Mollugo","","","","","","","","","","","","","","","","","","USA (, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (BC, MB, NB, NS, ON, QC)","","","",""
"MOVE","","MOVE","Mollugo verticillata","","Mollugo","","verticillata","","","","","","","","","","","L.","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (BC, MB, NB, NS, ON, QC)","Annual","Forb/herb","L48 (N), PR (N), VI (N), CAN (I)",""
"MONAR","","MONAR","Monarda","","Monarda","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NT, ON, QC, SK)","","","",""
"MOFI","","MOFI","Monarda fistulosa","","Monarda","","fistulosa","","","","","","","","","","","L.","","","","","USA (AL, AR, AZ, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NT, ON, QC, SK)","Perennial","Subshrub, Forb/herb","L48 (N), CAN (N)","Summer"
"MOFIF","","MOFIF","Monarda fistulosa ssp. fistulosa","","Monarda","","fistulosa","ssp.","","fistulosa","","","","","","","","L.","L.","","","","USA (AL, AR, AZ, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NT, ON, QC, SK)","Perennial","Subshrub, Forb/herb","L48 (N), CAN (N)",""
"MOFIM2","","MOFIM2","Monarda fistulosa ssp. fistulosa var. menthifolia","","Monarda","","fistulosa","ssp.","","fistulosa","var.","","menthifolia","","","","","L.","L.","(Graham) Fernald","","","USA (AZ, CO, IA, ID, MN, MT, ND, NE, NM, NV, OR, SD, TX, UT, WA, WI, WY), CAN (AB, BC, MB, NT, SK)","Perennial","Subshrub, Forb/herb","L48 (N), CAN (N)","Late Spring"
"MOPE","","MOPE","Monarda pectinata","","Monarda","","pectinata","","","","","","","","","","","Nutt.","","","","","USA (AZ, CA, CO, KS, MO, NE, NM, OK, OR, SD, TX, UT, WY)","Annual","Forb/herb","L48 (N)",""
"MONAR2","","MONAR2","Monardella","","Monardella","","","","","","","","","","","","","","","","","","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (BC)","","","",""
"MOGL","","MOGL","Monardella glauca","","Monardella","","glauca","","","","","","","","","","","Greene","","","","","USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WY)","Perennial","Forb/herb, Subshrub","L48 (N)",""
"MONES","","MONES","Moneses","","Moneses","","","","","","","","","","","","","","","","","","USA (AK, AZ, CA, CO, CT, ID, MA, ME, MI, MN, MT, NH, NM, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)","","","",""
"MOUN2","","MOUN2","Moneses uniflora","","Moneses","","uniflora","","","","","","","","","","","(L.) A. Gray","","","","","USA (AK, AZ, CA, CO, CT, ID, MA, ME, MI, MN, MT, NH, NM, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), SPM (N)",""
"MONOL","","MONOL","Monolepis","","Monolepis","","","","","","","","","","","","","","","","","","USA (AK, AZ, CA, CO, IA, ID, IL, KS, KY, LA, MA, ME, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, SC, SD, TX, UT, WA, WY), CAN (AB, BC, MB, NS, NT, ON, QC, SK, YT)","","","",""
"MONU","","MONU","Monolepis nuttalliana","","Monolepis","","nuttalliana","","","","","","","","","","","(Schult.) Greene","","","","","USA (AK, AZ, CA, CO, IA, ID, IL, KS, KY, LA, MA, ME, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, SC, SD, TX, UT, WA, WY), CAN (AB, BC, MB, NS, NT, ON, QC, SK, YT)","Annual","Forb/herb","L48 (N), AK (N), CAN (N)","Mid Spring"
"MOPU3","","MOPU3","Monolepis pusilla","","Monolepis","","pusilla","","","","","","","","","","","Torr. ex S. Watson","","","","","USA (CA, CO, ID, NV, OR, UT, WA, WY)","Annual","Forb/herb","L48 (N)",""
"MONOT","","MONOT","Monotropa","","Monotropa","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","","","",""
"MOHY3","","MOHY3","Monotropa hypopitys","","Monotropa","","hypopitys","","","","","","","","","","","L.","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), SPM (N)",""
"MONTI","","MONTI","Montia","","Montia","","","","","","","","","","","","","","","","","","USA (AK, AZ, CA, CO, IA, ID, LA, MA, MD, ME, MN, MS, MT, NC, NM, NV, OR, PA, TN, UT, VA, WA, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","","","",""
"MOCH","","MOCH","Montia chamissoi","","Montia","","chamissoi","","","","","","","","","","","(Ledeb. ex Spreng.) Greene","","","","","USA (AK, AZ, CA, CO, IA, ID, MN, MT, NM, NV, OR, PA, UT, WA, WY), CAN (AB, BC)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"MORUS","","MORUS","Morus","","Morus","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (BC, ON, QC)","","","",""
"MOAL","","MOAL","Morus alba","","Morus","","alba","","","","","","","","","","","L.","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (BC, ON, QC)","Perennial","Tree, Shrub","L48 (I), HI (I), CAN (I)","Early Spring"
"MUHLE","","MUHLE","Muhlenbergia","","Muhlenbergia","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)","","","",""
"MUAN","","MUAN","Muhlenbergia andina","","Muhlenbergia","","andina","","","","","","","","","","","(Nutt.) Hitchc.","","","","","USA (AZ, CA, CO, ID, KS, MT, NM, NV, OR, TX, UT, WA, WY), CAN (BC, MB, SK)","Perennial","Graminoid","L48 (N), CAN (N)",""
"MUAR","","MUAR","Muhlenbergia arenacea","","Muhlenbergia","","arenacea","","","","","","","","","","","(Buckley) Hitchc.","","","","","USA (AZ, CO, NM, TX)","Perennial","Graminoid","L48 (N)",""
"MUAR2","","MUAR2","Muhlenbergia arenicola","","Muhlenbergia","","arenicola","","","","","","","","","","","Buckley","","","","","USA (AZ, CO, KS, NM, OK, TX)","Perennial","Graminoid","L48 (N)",""
"MUAS","","MUAS","Muhlenbergia asperifolia","","Muhlenbergia","","asperifolia","","","","","","","","","","","(Nees & Meyen ex Trin.) Parodi","","","","","USA (AZ, CA, CO, IA, ID, IL, IN, KS, KY, MD, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, WA, WI, WY), CAN (AB, BC, MB, ON, SK)","Perennial","Graminoid","L48 (N), CAN (N)","Early Summer"
"MUBR2","","MUBR2","Muhlenbergia brevis","","Muhlenbergia","","brevis","","","","","","","","","","","C.O. Goodding","","","","","USA (AZ, CO, NM, TX)","Annual","Graminoid","L48 (N)",""
"MUCU3","","MUCU3","Muhlenbergia cuspidata","","Muhlenbergia","","cuspidata","","","","","","","","","","","(Torr. ex Hook.) Rydb.","","","","","USA (AR, CO, IA, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, OH, OK, PA, SD, TN, VA, WI, WY), CAN (AB, MB, SK)","Perennial","Graminoid","L48 (N), CAN (N)","Late Spring"
"MUDE","","MUDE","Muhlenbergia depauperata","","Muhlenbergia","","depauperata","","","","","","","","","","","Scribn.","","","","","USA (AZ, CO, NM, TX, UT)","Annual","Graminoid","L48 (N)",""
"MUFI","","MUFI","Muhlenbergia filiculmis","","Muhlenbergia","","filiculmis","","","","","","","","","","","Vasey","","","","","USA (AZ, CO, ND, NM, UT, WY)","Perennial","Graminoid","L48 (N)",""
"MUFI2","","MUFI2","Muhlenbergia filiformis","","Muhlenbergia","","filiformis","","","","","","","","","","","(Thurb. ex S. Watson) Rydb.","","","","","USA (AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY), CAN (BC)","Annual","Graminoid","L48 (N), CAN (N)",""
"MUGL3","","MUGL3","Muhlenbergia glomerata","","Muhlenbergia","","glomerata","","","","","","","","","","","(Willd.) Trin.","","","","","USA (CO, CT, DC, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)","Perennial","Graminoid","L48 (N), CAN (N), SPM (N)","Late Spring"
"MUME2","","MUME2","Muhlenbergia mexicana","","Muhlenbergia","","mexicana","","","","","","","","","","","(L.) Trin.","","","","","USA (AL, AR, AZ, CA, CO, CT, DE, HI, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (BC, MB, NB, NS, ON, QC, SK, YT)","Perennial","Graminoid","L48 (N), HI (I), CAN (N)","Late Summer"
"MUMI2","","MUMI2","Muhlenbergia minutissima","","Muhlenbergia","","minutissima","","","","","","","","","","","(Steud.) Swallen","","","","","USA (AZ, CA, CO, ID, MT, NE, NM, NV, OR, SD, TX, UT, WA, WY)","Annual","Graminoid","L48 (N)",""
"MUMO","","MUMO","Muhlenbergia montana","","Muhlenbergia","","montana","","","","","","","","","","","(Nutt.) Hitchc.","","","","","USA (AZ, CA, CO, MT, NM, TX, UT, WY)","Perennial","Graminoid","L48 (N)","Early Summer"
"MUPA2","","MUPA2","Muhlenbergia pauciflora","","Muhlenbergia","","pauciflora","","","","","","","","","","","Buckley","","","","","USA (AZ, CA, CO, NM, TX, UT)","Perennial","Graminoid","L48 (N)",""
"MUPO2","","MUPO2","Muhlenbergia porteri","","Muhlenbergia","","porteri","","","","","","","","","","","Scribn. ex Beal","","","","","USA (AZ, CA, CO, NM, NV, OK, TX, UT)","Perennial","Graminoid","L48 (N)","Late Spring"
"MUPU2","","MUPU2","Muhlenbergia pungens","","Muhlenbergia","","pungens","","","","","","","","","","","Thurb.","","","","","USA (AZ, CO, NE, NM, SD, TX, UT, WY)","Perennial","Graminoid","L48 (N)","Late Summer"
"MURA","","MURA","Muhlenbergia racemosa","","Muhlenbergia","","racemosa","","","","","","","","","","","(Michx.) Britton, Sterns & Poggenb.","","","","","USA (AZ, CO, IA, ID, IL, IN, KS, KY, ME, MI, MN, MO, MT, ND, NE, NH, NM, NV, NY, OK, OR, SD, TX, UT, VA, VT, WA, WI, WY), CAN (AB, BC, MB, NS, ON, QC, SK)","Perennial","Graminoid","L48 (N), CAN (N)","Late Summer"
"MURA4","","MURA4","Muhlenbergia ramulosa","","Muhlenbergia","","ramulosa","","","","","","","","","","","(Kunth) Swallen","","","","","USA (AZ, CO, NM)","Annual","Graminoid","L48 (N)",""
"MURE","","MURE","Muhlenbergia repens","","Muhlenbergia","","repens","","","","","","","","","","","(J. Presl) Hitchc.","","","","","USA (AZ, CO, NM, TX, UT)","Perennial","Graminoid","L48 (N)","Mid Summer"
"MURI","","MURI","Muhlenbergia richardsonis","","Muhlenbergia","","richardsonis","","","","","","","","","","","(Trin.) Rydb.","","","","","USA (AK, AZ, CA, CO, ID, ME, MI, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WI, WY), CAN (AB, BC, MB, NB, NT, ON, QC, SK, YT)","Perennial","Graminoid","L48 (N), AK (N), CAN (N)","Early Summer"
"MUSC","","MUSC","Muhlenbergia schreberi","","Muhlenbergia","","schreberi","","","","","","","","","","","J.F. Gmel.","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV), CAN (ON)","Perennial","Graminoid","L48 (N), CAN (N)","Summer"
"MUTH","","MUTH","Muhlenbergia thurberi","","Muhlenbergia","","thurberi","","","","","","","","","","","Rydb.","","","","","USA (AZ, CO, NM, NV, UT)","Perennial","Graminoid","L48 (N)",""
"MUTO2","","MUTO2","Muhlenbergia torreyi","","Muhlenbergia","","torreyi","","","","","","","","","","","(Kunth) Hitchc. ex Bush","","","","","USA (AZ, CO, KS, NM, NV, OK, TX, WY)","Perennial","Graminoid","L48 (N)",""
"MUWR","","MUWR","Muhlenbergia wrightii","","Muhlenbergia","","wrightii","","","","","","","","","","","Vasey ex J.M. Coult.","","","","","USA (AZ, CO, NM, OK, TX, UT)","Perennial","Graminoid","L48 (N)","Early Summer"
"MUNRO3","","MUNRO3","Munroa","","Munroa","","","","","","","","","","","","","","","","","","USA (AZ, CA, CO, KS, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WY), CAN (AB, MB, SK)","","","",""
"MUSQ3","","MUSQ3","Munroa squarrosa","","Munroa","","squarrosa","","","","","","","","","","","(Nutt.) Torr.","","","","","USA (AZ, CA, CO, KS, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WY), CAN (AB, MB, SK)","Annual","Graminoid","L48 (N), CAN (N)",""
"MUSIN","","MUSIN","Musineon","","Musineon","","","","","","","","","","","","","","","","","","USA (CO, ID, MT, ND, NE, NM, NV, SD, UT, WY), CAN (AB, MB, SK)","","","",""
"MUDI","","MUDI","Musineon divaricatum","","Musineon","","divaricatum","","","","","","","","","","","(Pursh) Raf.","","","","","USA (CO, ID, MT, ND, NE, NM, NV, SD, WY), CAN (AB, MB, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"MUDID","","MUDID","Musineon divaricatum var. divaricatum","","Musineon","","divaricatum","","","","var.","","divaricatum","","","","","(Pursh) Raf.","(Pursh) Raf.","","","","USA (CO, MT, NE, NM, SD, WY), CAN (MB)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"MUDIH","","MUDIH","Musineon divaricatum var. hookeri","","Musineon","","divaricatum","","","","var.","","hookeri","","","","","(Pursh) Raf.","(Torr. & A. Gray) Mathias","","","","USA (CO, ID, MT, ND, NV, SD, WY), CAN (AB, MB, SK)","Perennial","Forb/herb","L48 (N), CAN (N)",""
"MUTE3","","MUTE3","Musineon tenuifolium","","Musineon","","tenuifolium","","","","","","","","","","","(Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose","","","","","USA (CO, NE, SD, WY)","Perennial","Forb/herb","L48 (N)",""
"MYOSO","","MYOSO","Myosotis","","Myosotis","","","","","","","","","","","","","","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","","","",""
"MYAS2","","MYAS2","Myosotis asiatica","","Myosotis","","asiatica","","","","","","","","","","","(Vesterg.) Schischkin & Sergievskaja","","","","","USA (AK, CO, ID, MT, OR, WA, WY), CAN (AB, BC, NT, YT)","Perennial","Forb/herb","L48 (N), AK (N), CAN (N)",""
"MYSC","","MYSC","Myosotis scorpioides","","Myosotis","","scorpioides","","","","","","","","","","","L.","","","","","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (BC, MB, NB, NF, NS, ON, PE, QC, YT), FRA (SPM)","Perennial","Forb/herb","L48 (I), AK (I), CAN (I), SPM (I)","Mid Spring"
"MYOSU","","MYOSU","Myosurus","","Myosurus","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MN, MO, MS, MT, NC, ND, NE, NM, NV, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WY), CAN (AB, BC, MB, ON, SK)","","","",""
